"e401k","inc","marr","male","age","fsize","nettfa","p401k","pira","incsq","agesq"
0,24.4409999847412,0,0,36,2,2,0,0,597.362487792969,1296
0,18.5249996185303,1,0,28,5,-1.98000001907349,0,0,343.175598144531,784
0,15.3599996566772,1,0,38,4,-0.949999988079071,0,0,235.929595947266,1444
0,53.4749984741211,1,0,54,2,0.330000013113022,0,0,2859.57543945312,2916
1,31.0559997558594,1,0,47,6,5.6399998664856,1,0,964.47509765625,2209
0,36.0719985961914,1,0,46,5,0,0,0,1301.18908691406,2116
1,19.1639995574951,1,0,51,2,0.898999989032745,0,0,367.258880615234,2601
0,44.3759994506836,0,1,48,1,24.9990005493164,0,0,1969.22937011719,2304
0,28.3290004730225,0,0,54,2,26.5300006866455,0,1,802.532287597656,2916
1,37.3800010681152,0,1,48,1,2.99900007247925,0,0,1397.26452636719,2304
0,17.8169994354248,0,1,42,1,1.70000004768372,0,0,317.445465087891,1764
1,71.0279998779297,1,0,60,2,257.600006103516,1,1,5044.9765625,3600
0,28.4759998321533,0,0,58,1,27,0,1,810.882568359375,3364
0,34.0410003662109,1,0,30,2,-4,0,0,1158.78967285156,900
0,25.8600006103516,0,0,26,1,10.5,0,0,668.739624023438,676
1,77.3550033569336,1,0,33,4,30.8999996185303,1,1,5983.79638671875,1089
0,15.4139995574951,0,0,50,4,0.144999995827675,0,0,237.591384887695,2500
0,73.9020004272461,1,0,44,4,14.298999786377,0,0,5461.505859375,1936
1,10.5450000762939,0,1,25,1,1.03100001811981,1,0,111.19702911377,625
0,24.1770000457764,0,1,25,1,-1.30099999904633,0,0,584.52734375,625
1,33.4199981689453,0,0,46,2,8.41199970245361,1,0,1116.89624023438,2116
0,53.226001739502,1,0,51,8,-1.20000004768372,0,0,2833.00732421875,2601
0,31.8689994812012,0,1,36,1,1.60000002384186,0,1,1015.63311767578,1296
0,26.9459991455078,0,0,64,2,-3.79999995231628,0,0,726.086853027344,4096
1,90.7259979248047,1,0,62,2,13.6000003814697,1,1,8231.20703125,3844
0,28.7999992370605,1,0,31,8,0.100000001490116,0,0,829.43994140625,961
0,23.193000793457,1,0,37,7,-1.8860000371933,0,0,537.915283203125,1369
1,36.0359992980957,0,1,64,1,18.25,1,0,1298.59326171875,4096
0,56.0820007324219,1,0,28,2,9.80000019073486,0,0,3145.19091796875,784
0,16.0319995880127,0,1,25,2,1.92999994754791,0,0,257.025024414062,625
1,52.2360000610352,1,0,38,6,-3,0,0,2728.599609375,1444
0,39.6300010681152,1,0,41,3,0.224999994039536,0,0,1570.53698730469,1681
1,34.4700012207031,1,0,50,5,27.7980003356934,1,0,1188.18103027344,2500
0,31.5480003356934,1,0,56,6,-24.7999992370605,0,0,995.276306152344,3136
1,31.2000007629395,1,0,28,2,-72.8000030517578,0,0,973.440063476562,784
1,19.8059997558594,1,0,39,4,25.5699996948242,1,0,392.277618408203,1521
1,74.5289993286133,1,0,42,4,17.9500007629395,1,0,5554.57177734375,1764
1,26.681999206543,1,0,43,5,3.59999990463257,1,0,711.929077148438,1849
0,33.75,0,1,25,1,-3,0,0,1139.0625,625
1,146.576995849609,1,0,43,5,778.627990722656,1,1,21484.81640625,1849
0,23.7180004119873,0,0,32,1,14.298999786377,0,1,562.543518066406,1024
1,19.3020000457764,0,0,31,1,-3.40000009536743,0,0,372.567199707031,961
0,29.3999996185303,1,0,53,2,27.9599990844727,0,1,864.359985351562,2809
0,16.9769992828369,0,0,35,2,-1.02499997615814,0,0,288.218505859375,1225
0,19.7339992523193,1,0,49,7,-1.29999995231628,0,0,389.430725097656,2401
0,14.2799997329712,1,0,43,4,-0.5,0,0,203.918395996094,1849
0,30.0750007629395,1,0,47,3,4.23199987411499,0,1,904.505676269531,2209
0,27,1,0,46,3,-3.29999995231628,0,0,729,2116
1,33.9599990844727,1,0,36,13,10.1999998092651,1,0,1153.28149414062,1296
0,64.5,1,0,47,3,5.90000009536743,0,0,4160.25,2209
0,24.0300006866455,0,0,31,2,-4,0,0,577.44091796875,961
0,21.1110000610352,0,0,64,1,2.5,0,0,445.67431640625,4096
0,51.7980003356934,0,0,38,2,41.9990005493164,0,0,2683.03295898438,1444
1,17.3640003204346,1,0,27,2,-37.5040016174316,1,0,301.508514404297,729
0,19.253999710083,0,0,28,1,-1.10000002384186,0,0,370.716491699219,784
0,27.6030006408691,1,0,35,4,7.55900001525879,0,0,761.925659179688,1225
0,31.4400005340576,0,1,33,1,-1,0,0,988.4736328125,1089
0,30.2399997711182,0,0,45,3,0.920000016689301,0,0,914.457580566406,2025
0,16.8299999237061,0,1,28,1,0.740000009536743,0,0,283.248901367188,784
1,30.2310009002686,1,0,34,4,-0.0299999993294477,1,0,913.913391113281,1156
0,35.4000015258789,0,1,33,2,2.47499990463257,0,0,1253.16015625,1089
1,46.1549987792969,1,0,55,5,53.9480018615723,1,1,2130.28393554688,3025
0,27.3299999237061,1,0,50,4,-2.59999990463257,0,0,746.928894042969,2500
1,24.67799949646,0,0,44,3,0.583000004291534,0,0,609.003662109375,1936
1,36.0270004272461,1,1,59,2,20.2490005493164,1,0,1297.94470214844,3481
0,13.5900001525879,0,0,32,4,0,0,0,184.688110351562,1024
0,15.7410001754761,0,0,49,2,0.0500000007450581,0,0,247.779083251953,2401
0,27.4650001525879,1,0,52,4,1.10000002384186,0,0,754.326232910156,2704
0,54.9630012512207,1,0,55,2,53.6990013122559,0,0,3020.93139648438,3025
0,18.548999786377,1,0,63,2,19,0,0,344.065399169922,3969
1,21.576000213623,0,1,39,1,14.5,1,1,465.523773193359,1521
0,38.7599983215332,1,0,47,3,-0.5,0,0,1502.33752441406,2209
1,64.6620025634766,1,0,62,2,19.4440002441406,1,1,4181.1748046875,3844
1,43.1580009460449,1,0,46,2,8,1,0,1862.61303710938,2116
0,17.8799991607666,0,0,43,3,-3.15100002288818,0,0,319.694366455078,1849
1,23.7000007629395,1,0,53,2,13.1999998092651,1,0,561.690063476562,2809
0,37.7550010681152,1,0,56,2,-1.20000004768372,0,0,1425.44006347656,3136
1,40.9710006713867,1,1,29,3,-9.9680004119873,1,0,1678.62292480469,841
0,13.4280004501343,1,0,28,2,7.17899990081787,0,0,180.31120300293,784
1,92.9909973144531,1,0,48,5,83.9000015258789,1,1,8647.3251953125,2304
0,35.0610008239746,1,0,41,3,22,0,0,1229.27380371094,1681
0,17.1359996795654,0,1,34,3,0.0149999996647239,0,0,293.642486572266,1156
0,16.9559993743896,1,0,47,2,0.825999975204468,0,0,287.505920410156,2209
1,56.7000007629395,1,0,63,2,94.3990020751953,1,1,3214.89013671875,3969
0,70.2750015258789,1,0,41,4,-2.15700006484985,0,0,4938.57568359375,1681
0,13.46399974823,0,0,27,2,0.400000005960464,0,0,181.279281616211,729
0,74.6490020751953,1,0,39,4,-8.00500011444092,0,0,5572.4736328125,1521
0,24.011999130249,0,0,41,3,-9.45600032806396,0,0,576.576110839844,1681
0,20.5590000152588,0,0,30,3,2.90000009536743,0,0,422.672485351562,900
0,39.5279998779297,1,1,55,2,-15.7180004119873,0,1,1562.46276855469,3025
0,39.3030014038086,0,0,34,1,-12.1879997253418,0,0,1544.72595214844,1156
0,17.7150001525879,0,1,31,1,4.05000019073486,0,0,313.821228027344,961
1,55.0800018310547,1,0,54,2,44.0429992675781,1,0,3033.806640625,2916
1,20.7600002288818,0,1,55,1,7.95499992370605,0,0,430.977600097656,3025
0,14.2829999923706,0,1,40,1,0.0280000008642673,0,0,204.004089355469,1600
0,20.4360008239746,1,0,31,4,-0.200000002980232,0,0,417.630126953125,961
0,26.3880004882812,1,0,26,4,0.86599999666214,0,0,696.326599121094,676
0,46.1040000915527,1,0,39,3,4.34999990463257,0,0,2125.57885742188,1521
1,49.7099990844727,1,0,42,3,27.0970001220703,0,1,2471.083984375,1764
1,76.8059997558594,1,0,52,2,80.0490036010742,1,0,5899.16162109375,2704
1,39.7050018310547,1,0,39,4,71.5690002441406,0,1,1576.48718261719,1521
0,11.2200002670288,0,0,30,3,0,0,0,125.888404846191,900
0,18.3479995727539,0,0,50,4,0.300000011920929,0,0,336.649078369141,2500
0,13.9499998092651,0,0,49,6,0,0,0,194.602493286133,2401
0,15.2159996032715,1,0,32,10,0.200000002980232,0,0,231.526641845703,1024
0,36.1500015258789,1,0,32,4,-2.20000004768372,0,0,1306.82263183594,1024
0,47.3400001525879,0,1,27,2,-10.4300003051758,0,0,2241.07568359375,729
0,63.2249984741211,1,0,40,6,10.5710000991821,0,1,3997.400390625,1600
1,26.0310001373291,0,0,49,2,0.5,0,0,677.612976074219,2401
0,20.3999996185303,1,0,36,5,0,0,0,416.159973144531,1296
0,17.92799949646,0,0,36,3,0,0,0,321.413177490234,1296
1,31.7999992370605,1,0,38,5,12.5100002288818,1,0,1011.23992919922,1444
0,30,1,1,42,2,-15.1000003814697,0,0,900,1764
0,26.4629993438721,0,0,43,1,10.0109996795654,0,1,700.290344238281,1849
1,73.7220001220703,1,0,42,5,3.20000004768372,1,0,5434.93310546875,1764
0,33.4140014648438,1,0,32,4,-4.69999980926514,0,0,1116.49548339844,1024
1,34.0800018310547,1,0,35,6,5.09999990463257,0,0,1161.44653320312,1225
1,48.9000015258789,0,0,61,1,28.0799999237061,1,1,2391.21020507812,3721
1,21,0,1,41,1,-2.34699988365173,0,0,441,1681
1,39.609001159668,1,0,59,2,48.6839981079102,0,1,1568.87292480469,3481
1,80.8499984741211,1,0,45,5,132.425003051758,1,1,6536.72216796875,2025
1,91.7610015869141,1,0,35,4,-3.45000004768372,0,0,8420.0810546875,1225
0,46.7190017700195,1,0,41,5,4,0,0,2182.6650390625,1681
0,19.2000007629395,0,1,25,1,0,0,0,368.640014648438,625
1,102.705001831055,1,0,35,2,56.5999984741211,1,0,10548.3173828125,1225
0,54.9659996032715,1,0,33,3,1.39999997615814,0,0,3021.26123046875,1089
0,12.75,0,1,38,2,0,0,0,162.5625,1444
1,52.8359985351562,1,0,50,2,37.6500015258789,1,0,2791.64282226562,2500
0,12.7200002670288,1,0,32,3,0,0,0,161.798400878906,1024
1,26.6459999084473,0,0,28,1,62.6790008544922,1,0,710.009338378906,784
0,59.6640014648438,1,0,44,5,11.3999996185303,0,1,3559.79296875,1936
0,39.1500015258789,1,0,58,2,189.399993896484,0,1,1532.72265625,3364
0,21.2999992370605,1,0,47,6,-0.986000001430511,0,0,453.689971923828,2209
0,30.8700008392334,0,0,48,3,10.9499998092651,0,1,952.956970214844,2304
0,16.5,1,0,57,2,23,0,0,272.25,3249
0,32.5919990539551,1,0,57,4,-2.09999990463257,0,0,1062.23840332031,3249
0,27.3449993133545,1,0,34,5,0.409000009298325,0,0,747.748962402344,1156
0,35.4179992675781,1,0,57,5,-5.75,0,0,1254.43469238281,3249
0,24.2999992370605,0,0,45,1,0.0500000007450581,0,0,590.489990234375,2025
1,52.3650016784668,1,0,46,2,6,0,0,2742.09350585938,2116
0,26.8649997711182,1,1,29,4,-1.94500005245209,0,0,721.728210449219,841
0,39.4799995422363,1,0,35,3,40.2000007629395,0,1,1558.67041015625,1225
1,45.693000793457,1,0,40,2,18.576000213623,1,1,2087.85034179688,1600
0,39.2999992370605,1,0,42,5,-4.90000009536743,0,0,1544.48999023438,1764
0,14.2440004348755,0,0,60,1,120,0,1,202.891555786133,3600
0,43.5180015563965,1,0,27,3,-7.5,0,0,1893.81640625,729
0,10.8570003509521,0,1,27,1,1.0460000038147,0,0,117.874458312988,729
0,51.2220001220703,0,0,33,3,1.60000002384186,0,0,2623.693359375,1089
0,34.7639999389648,1,1,63,2,3,0,0,1208.53564453125,3969
0,16.9589996337891,1,0,43,7,-0.5,0,0,287.607666015625,1849
0,23.6399993896484,1,0,26,5,-6.00099992752075,0,0,558.849548339844,676
1,56.3040008544922,1,0,45,4,29.3999996185303,1,0,3170.140625,2025
1,107.09700012207,1,0,54,2,47.9220008850098,0,0,11469.767578125,2916
1,46.818000793457,1,0,39,4,1.79999995231628,1,1,2191.92529296875,1521
0,13.1099996566772,0,0,30,3,0,0,0,171.872085571289,900
0,29.1599998474121,0,0,36,3,4.24499988555908,0,0,850.305603027344,1296
1,42.5400009155273,1,0,52,2,30.1000003814697,1,0,1809.65173339844,2704
0,74.3099975585938,1,0,49,6,-5.5,0,0,5521.9755859375,2401
0,27.7290000915527,1,0,31,6,-4.88000011444092,0,0,768.8974609375,961
0,15,0,0,42,3,49.5379981994629,0,0,225,1764
1,54.7229995727539,1,0,57,2,21.9479999542236,1,0,2994.60668945312,3249
0,61.5810012817383,1,0,44,4,61.3660011291504,0,1,3792.2197265625,1936
1,72.0299987792969,1,0,43,2,21.9979991912842,0,1,5188.32080078125,1849
1,37.3380012512207,1,0,48,7,-18.8899993896484,0,1,1394.12634277344,2304
0,27.3540000915527,0,0,39,3,2.59999990463257,0,1,748.241333007812,1521
1,92.8980026245117,0,1,27,1,30.9570007324219,1,1,8630.0390625,729
0,42.9420013427734,1,0,33,4,-2.20499992370605,0,0,1844.01550292969,1089
1,31.0170001983643,1,0,31,5,1.20899999141693,0,1,962.054321289062,961
1,23.8920001983643,0,0,35,1,5.24900007247925,1,0,570.827697753906,1225
1,44.4599990844727,1,0,39,2,38.306999206543,1,1,1976.69152832031,1521
0,33.7200012207031,1,1,30,2,-2.55200004577637,0,0,1137.03845214844,900
0,52.8209991455078,1,0,37,5,3.29999995231628,0,1,2790.05786132812,1369
1,86.4000015258789,1,0,43,4,45.0999984741211,0,1,7464.96044921875,1849
0,14.7629995346069,1,0,31,4,-5.00699996948242,0,0,217.946151733398,961
1,107.301002502441,1,0,50,3,371.901000976562,1,1,11513.5048828125,2500
0,20.3850002288818,0,0,27,1,-0.800000011920929,0,0,415.548248291016,729
1,41.5260009765625,1,0,35,2,-1.5,0,0,1724.40881347656,1225
0,27.375,1,0,41,4,-1.20000004768372,0,0,749.390625,1681
0,24.3360004425049,1,0,42,4,-0.300000011920929,0,0,592.240905761719,1764
1,34.4249992370605,1,0,40,4,-6.46000003814697,1,0,1185.08056640625,1600
0,43.1310005187988,1,0,45,2,59.1599998474121,0,1,1860.283203125,2025
1,57.0629997253418,1,0,54,4,138.998992919922,1,1,3256.18603515625,2916
1,41.5349998474121,0,1,30,1,83.6999969482422,0,1,1725.15625,900
0,61.7220001220703,1,1,32,3,-2.48000001907349,0,0,3809.60522460938,1024
0,99.1529998779297,1,0,43,2,80.802001953125,0,1,9831.3173828125,1849
0,37.2960014343262,1,0,28,3,-2,0,0,1390.99169921875,784
1,27.0599994659424,0,0,38,3,37.0999984741211,1,0,732.243591308594,1444
0,32.4599990844727,0,0,26,1,-4.48999977111816,0,0,1053.65148925781,676
1,28.4909992218018,0,1,46,3,4.01999998092651,1,0,811.737060546875,2116
1,19.5960006713867,0,1,41,2,-1.20000004768372,1,0,384.003234863281,1681
1,18.5400009155273,0,0,37,5,0.96399998664856,1,0,343.731628417969,1369
1,102.434997558594,1,0,54,2,139.628997802734,1,1,10492.9287109375,2916
0,26.7000007629395,1,0,39,4,46,0,0,712.890014648438,1521
1,43.7879981994629,0,0,43,3,46.8499984741211,1,1,1917.38879394531,1849
1,45.8699989318848,1,0,47,2,38.7999992370605,1,1,2104.05688476562,2209
0,38.8800010681152,0,1,61,2,-17.7000007629395,0,0,1511.65454101562,3721
0,17.7059993743896,0,0,43,3,3.3989999294281,0,0,313.502410888672,1849
0,21.6299991607666,0,0,63,2,-0.740000009536743,0,0,467.856872558594,3969
1,43.4370002746582,1,0,36,3,12.8179998397827,1,1,1886.77294921875,1296
1,57.1500015258789,1,0,34,4,2.20000004768372,1,0,3266.12255859375,1156
1,22.9020004272461,0,1,51,1,61.7490005493164,1,1,524.501647949219,2601
0,40.7400016784668,1,0,42,5,3.59999990463257,0,1,1659.74768066406,1764
0,13.1820001602173,1,0,32,4,-2.37299990653992,0,0,173.765121459961,1024
0,11.6099996566772,0,0,44,1,0.0500000007450581,0,0,134.792098999023,1936
1,108.587997436523,1,0,62,2,84.1959991455078,0,0,11791.353515625,3844
1,29.7719993591309,1,0,53,2,1.19799995422363,0,0,886.371948242188,2809
1,67.3199996948242,1,0,45,3,36.1990013122559,1,0,4531.982421875,2025
1,46.2360000610352,1,0,57,3,22.3980007171631,0,1,2137.76782226562,3249
0,32.5890007019043,1,0,31,4,1.29999995231628,0,0,1062.04296875,961
0,60.4980010986328,1,0,40,2,10.0500001907349,0,1,3660.00805664062,1600
0,30.2099990844727,0,1,30,2,3.09999990463257,0,1,912.64404296875,900
1,55.125,1,0,35,4,23.9689998626709,1,1,3038.765625,1225
1,56.6759986877441,1,0,56,2,-6.23899984359741,0,0,3212.1689453125,3136
1,70.8450012207031,1,0,57,2,200,1,1,5019.01416015625,3249
0,46.814998626709,0,0,44,3,30.9020004272461,0,1,2191.64404296875,1936
1,14.4300003051758,0,0,27,1,-4.5,0,0,208.224914550781,729
1,58.1730003356934,1,0,31,2,22.4500007629395,0,0,3384.09790039062,961
1,50.6459999084473,0,0,40,2,45.5839996337891,1,1,2565.01733398438,1600
0,12.2069997787476,0,1,32,1,-0.842999994754791,0,0,149.010848999023,1024
0,62.5260009765625,1,0,52,2,69.0999984741211,0,1,3909.50073242188,2704
1,44.7029991149902,1,1,32,5,-14,0,0,1998.35815429688,1024
0,85.379997253418,1,0,25,4,-30.2399997711182,0,0,7289.744140625,625
0,34.6469993591309,0,1,35,1,4.99900007247925,0,0,1200.41455078125,1225
1,27.7859992980957,1,1,41,3,-0.00100000004749745,0,0,772.061767578125,1681
1,54.4500007629395,1,0,63,2,94.5989990234375,1,1,2964.80249023438,3969
1,19.6380004882812,0,1,52,1,8.5,1,0,385.651062011719,2704
1,33.3120002746582,0,0,36,2,77.1999969482422,1,0,1109.68933105469,1296
0,24.5340003967285,1,0,25,3,5.15000009536743,0,0,601.917175292969,625
0,18.3600006103516,0,1,28,1,0.0149999996647239,0,0,337.089630126953,784
0,28.7399997711182,0,1,27,1,-1.20000004768372,0,0,825.987609863281,729
0,36.1679992675781,1,0,25,3,-1.50100004673004,0,0,1308.12414550781,625
0,17.0100002288818,1,0,47,3,4.15000009536743,0,0,289.340118408203,2209
0,17.4120006561279,0,0,39,3,0,0,0,303.177764892578,1521
0,32.4269981384277,1,0,37,2,0.100000001490116,0,0,1051.51025390625,1369
0,38.0579986572266,0,1,28,1,5.19999980926514,0,0,1448.41125488281,784
1,58.3170013427734,1,0,46,3,36.5,0,1,3400.87255859375,2116
0,15.8219995498657,1,0,26,2,11.3999996185303,0,0,250.335662841797,676
0,43.2750015258789,1,0,26,2,-3.07299995422363,0,0,1872.72570800781,676
0,17.4449996948242,1,0,34,4,-7,0,0,304.328002929688,1156
1,21.6389999389648,1,0,42,4,0.248999997973442,0,0,468.246307373047,1764
0,48.0330009460449,0,0,61,2,32.0550003051758,0,1,2307.16918945312,3721
0,49.0800018310547,1,0,54,2,45.7000007629395,0,1,2408.8466796875,2916
1,35.2919998168945,0,1,61,1,3,0,0,1245.52526855469,3721
0,28.5750007629395,0,0,27,1,1.24899995326996,0,0,816.530639648438,729
0,33.3660011291504,0,1,43,1,12.5989999771118,0,0,1113.2900390625,1849
1,35.4720001220703,0,1,51,2,60.3979988098145,1,0,1258.26281738281,2601
0,42.9300003051758,1,1,35,3,-18.8799991607666,0,0,1842.98498535156,1225
0,17.5799999237061,1,0,32,2,12.1999998092651,0,1,309.056396484375,1024
0,77.0100021362305,1,0,36,4,26,0,1,5930.54052734375,1296
0,37.6619987487793,1,0,37,11,-2.38199996948242,0,0,1418.42614746094,1369
1,20.4300003051758,1,0,57,1,-1.94000005722046,1,0,417.384918212891,3249
0,27.8400001525879,0,0,40,2,0,0,0,775.065612792969,1600
0,49.8059997558594,0,0,37,1,110.102996826172,0,1,2480.6376953125,1369
0,24.67799949646,1,0,34,3,-0.312000006437302,0,0,609.003662109375,1156
0,15.8100004196167,1,1,60,3,-3.20000004768372,0,0,249.956115722656,3600
1,17.6280002593994,1,0,27,4,12.3400001525879,1,0,310.746398925781,729
0,20.4060001373291,1,0,37,4,-10.5150003433228,0,1,416.404846191406,1369
0,37.6440010070801,1,1,44,3,-6.6560001373291,0,0,1417.07080078125,1936
0,89.1750030517578,1,1,43,3,-0.200000002980232,0,0,7952.18115234375,1849
0,30.1650009155273,1,1,56,3,-0.101000003516674,0,0,909.927307128906,3136
0,27.2940006256104,0,0,34,2,-2.5,0,0,744.962463378906,1156
0,34.5089988708496,0,1,39,1,13.3000001907349,0,0,1190.87097167969,1521
0,28.7159996032715,1,0,30,4,-19.1749992370605,0,0,824.608642578125,900
1,15,0,1,38,1,2.84999990463257,1,0,225,1444
1,29.3250007629395,1,0,33,4,5.51300001144409,1,0,859.955688476562,1089
0,56.9129981994629,1,1,39,3,35.882999420166,0,1,3239.08935546875,1521
1,51.0509986877441,1,0,29,4,16.6000003814697,1,0,2606.20434570312,841
1,169.199996948242,1,0,49,2,484.197998046875,1,1,28628.638671875,2401
0,25.7040004730225,0,0,49,1,-0.368999987840652,0,0,660.695617675781,2401
0,25.7999992370605,0,0,37,1,13.5,0,1,665.639953613281,1369
1,110.985000610352,1,0,36,4,10.8000001907349,1,0,12317.669921875,1296
0,35.625,1,0,34,5,-8,0,0,1269.140625,1156
0,45.7620010375977,1,0,39,4,16.0690002441406,0,1,2094.16064453125,1521
1,46.9109992980957,1,0,56,4,9.02000045776367,0,1,2200.64184570312,3136
0,15.9060001373291,0,0,26,4,0.100000001490116,0,0,253.000839233398,676
1,50.4329986572266,1,0,29,2,14.1260004043579,1,0,2543.4873046875,841
1,53.8440017700195,1,0,44,4,4.73000001907349,0,1,2899.17651367188,1936
0,28.3560009002686,1,0,26,2,4.59100008010864,0,0,804.062805175781,676
1,50.4000015258789,0,1,39,2,5.80000019073486,1,0,2540.16015625,1521
1,33.1500015258789,0,0,43,2,24.6800003051758,1,0,1098.92260742188,1849
0,16.488000869751,1,0,27,6,-1.42200005054474,0,0,271.854187011719,729
0,41.7750015258789,0,1,50,1,9.49899959564209,0,1,1745.15075683594,2500
1,36.1469993591309,1,0,34,4,-0.0710000023245811,1,1,1306.60559082031,1156
0,34.9500007629395,0,0,41,3,0.5,0,0,1221.50256347656,1681
1,31.0049991607666,0,1,27,1,0,0,0,961.309997558594,729
1,48.5279998779297,1,0,46,3,3.22000002861023,0,0,2354.966796875,2116
0,34.6800003051758,1,1,45,4,-57,0,0,1202.70239257812,2025
0,12.6000003814697,0,0,42,1,-9.55000019073486,0,0,158.760009765625,1764
0,20.0699996948242,1,1,52,2,-4,0,0,402.804901123047,2704
0,38.3190002441406,1,0,31,3,0.0900000035762787,0,0,1468.34582519531,961
0,20.7299995422363,1,0,28,4,1.89999997615814,0,0,429.732879638672,784
0,28.2479991912842,0,1,31,1,15.1499996185303,0,0,797.949462890625,961
0,31.0979995727539,0,0,55,1,20.298999786377,0,0,967.085571289062,3025
1,24.996000289917,0,1,44,1,1.39999997615814,0,0,624.800048828125,1936
0,22.3379993438721,0,1,26,1,0.892000019550323,0,0,498.986206054688,676
0,86.7900009155273,1,1,27,4,1.39999997615814,0,0,7532.50439453125,729
0,14.6549997329712,0,0,27,3,0,0,0,214.769012451172,729
1,16.2240009307861,0,0,42,6,-1.5,0,0,263.218200683594,1764
0,25.1849994659424,0,0,59,1,237.949996948242,0,1,634.2841796875,3481
0,24,0,1,40,1,0,0,0,576,1600
0,48.0270004272461,0,1,39,1,1.89999997615814,0,1,2306.5927734375,1521
0,17.3999996185303,0,0,35,1,-10.1000003814697,0,0,302.759979248047,1225
0,18.75,1,0,35,7,0,0,0,351.5625,1225
1,30.576000213623,0,0,31,1,13.5,1,0,934.891784667969,961
1,91.7760009765625,1,1,42,5,12,1,0,8422.833984375,1764
0,17.8500003814697,0,1,25,1,0,0,0,318.622528076172,625
1,29.3099994659424,0,0,54,1,4.80000019073486,0,0,859.076049804688,2916
1,66.8519973754883,1,0,42,3,10.9010000228882,1,0,4469.189453125,1764
1,23.0699996948242,0,0,30,1,2.16000008583069,1,0,532.224914550781,900
1,66.1500015258789,1,1,28,4,-1.28999996185303,1,0,4375.82275390625,784
1,81.7109985351562,1,0,54,5,249.600006103516,1,1,6676.6875,2916
0,31.5869998931885,1,0,54,2,22.9979991912842,0,0,997.738586425781,2916
1,64.8779983520508,0,1,33,1,27.3430004119873,1,0,4209.15478515625,1089
0,36.060001373291,0,0,28,1,-5,0,0,1300.32373046875,784
0,33.5999984741211,1,0,39,2,-9,0,0,1128.95983886719,1521
