"age","soph","junior","senior","senior5","male","campus","business","engineer","colGPA","hsGPA","ACT","job19","job20","drive","bike","walk","voluntr","PC","greek","car","siblings","bgfriend","clubs","skipped","alcohol","gradMI","fathcoll","mothcoll"
20,0,1,0,0,1,0,1,0,3.29999995231628,3.5,24,0,0,0,1,0,0,0,0,0,1,0,1,2,2,1,0,0
21,0,0,1,0,0,1,1,0,3.20000004768372,3.5,23,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0
22,0,0,0,1,1,1,0,0,3.09999990463257,3.09999990463257,16,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0
20,0,1,0,0,1,0,1,0,3,3.09999990463257,21,1,0,0,0,1,0,1,1,0,1,0,0,1,0.5,1,0,1
20,0,1,0,0,1,0,1,0,3.40000009536743,3.70000004768372,30,1,0,1,0,0,0,0,1,1,1,0,0,5,3,1,0,0
20,0,1,0,0,1,0,1,0,3.09999990463257,3.29999995231628,23,1,0,0,1,0,0,0,1,0,1,1,1,2,1,1,1,1
21,0,0,1,0,0,0,1,0,3.20000004768372,3.70000004768372,23,1,0,0,0,1,1,0,0,0,1,0,1,2,0,1,0,0
20,0,0,1,0,1,0,1,0,3.29999995231628,3,23,1,0,0,0,1,0,1,0,1,1,1,0,0,3,1,1,1
21,0,0,1,0,0,0,0,0,3,3.79999995231628,22,1,0,1,0,0,0,0,0,1,1,1,0,1,3,1,1,1
21,0,0,1,0,0,0,1,0,2.79999995231628,3.5,22,0,0,0,1,0,0,0,1,0,1,0,0,1,2,1,1,1
21,0,0,1,0,1,0,0,0,2.79999995231628,3.59999990463257,25,1,0,1,0,0,0,0,1,1,1,1,0,3,0,1,0,0
20,0,1,0,0,1,0,1,0,2.70000004768372,3.5,27,1,0,0,1,0,0,0,0,1,1,0,0,4,3,1,0,0
21,0,0,1,0,0,1,0,0,2.59999990463257,3,19,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1
19,0,1,0,0,1,0,1,0,2.90000009536743,3.79999995231628,23,1,0,1,0,0,0,0,0,0,1,0,1,1,2,0,1,1
20,0,1,0,0,0,0,1,0,3,3.5,26,1,0,0,0,1,0,0,0,0,1,1,0,2,1,1,0,1
22,0,0,0,1,0,0,1,0,3,3.59999990463257,22,0,0,0,1,0,1,0,1,1,0,0,1,0,2,1,1,1
22,0,0,1,0,0,0,0,0,2.90000009536743,3.79999995231628,24,0,1,0,0,1,0,0,0,0,1,1,1,2,1,0,0,0
20,0,1,0,0,0,0,1,0,3.29999995231628,3.59999990463257,26,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1
21,0,0,1,0,0,0,1,0,2.70000004768372,3.29999995231628,23,0,0,0,0,1,0,1,0,1,1,1,1,1,3,1,0,0
20,0,1,0,0,1,0,1,0,3,3.20000004768372,21,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1
20,0,0,1,0,1,0,1,0,2.90000009536743,3.29999995231628,22,0,0,0,1,0,1,0,1,1,1,0,0,2,1,1,1,0
20,0,1,0,0,1,1,1,0,3.79999995231628,3.59999990463257,26,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1
20,0,1,0,0,1,1,1,0,2.90000009536743,3.79999995231628,30,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0
22,0,0,1,0,1,0,1,0,3,3.29999995231628,22,1,0,0,1,0,0,1,0,1,1,0,1,0,3,1,1,0
21,0,0,1,0,1,0,1,0,3.20000004768372,3.20000004768372,19,0,0,0,0,1,0,0,1,0,1,1,0,0,3,1,0,0
22,0,0,0,1,0,0,1,0,3,3.29999995231628,23,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0
21,0,0,1,0,1,0,1,0,2.29999995231628,3.59999990463257,25,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0
20,0,1,0,0,0,0,1,0,2.79999995231628,3.40000009536743,21,0,1,0,1,0,0,0,0,1,1,1,0,0,0.300000011920929,1,0,0
20,0,1,0,0,1,1,1,0,3.40000009536743,3.70000004768372,26,0,0,0,0,1,0,0,1,1,1,1,1,3,4,1,0,1
21,0,0,1,0,1,0,0,0,2.79999995231628,3.29999995231628,28,1,0,0,1,0,0,0,0,0,1,1,1,3,2,1,1,1
