attend,termGPA,priGPA,ACT,final,atndrte,hwrte,frosh,soph,missed,stndfnl
21,2.30999994277954,2.17000007629395,22,23,65.625,100,1,0,11,-0.577731072902679
24,2.63000011444092,3.29999995231628,26,25,75,100,0,1,8,-0.157563030719757
20,1.83000004291534,2.52999997138977,27,27,62.5,62.5,0,1,12,0.262605041265488
30,2,2.0699999332428,23,19,93.75,87.5,0,1,2,-1.41806721687317
31,3.58999991416931,3.25,25,30,96.875,100,0,1,1,0.892857134342194
32,2.88000011444092,2.8199999332428,23,19,100,100,0,1,0,-1.41806721687317
23,1.92999994754791,2.45000004768372,20,31,71.875,87.5,0,1,9,1.10294115543365
30,2.70000004768372,3.01999998092651,20,28,93.75,100,0,1,2,0.472689062356949
28,2.69000005722046,2.83999991416931,23,21,87.5,87.5,0,1,4,-0.997899174690247
25,3.38000011444092,3.39000010490418,23,25,78.125,87.5,0,1,7,-0.157563030719757
28,2.5,0.85699999332428,18,30,87.5,100,0,1,4,0.892857134342194
24,3.52999997138977,2.30999994277954,32,32,75,100,0,0,8,1.31302523612976
26,2.15000009536743,2.96000003814697,16,20,81.25,100,0,1,6,-1.20798313617706
25,2.6800000667572,2.38000011444092,21,23,78.125,100,1,0,7,-0.577731072902679
27,2.71000003814697,2.15000009536743,20,24,84.375,100,0,1,5,-0.367647051811218
23,2.61999988555908,1.89999997615814,23,29,71.875,100,1,0,9,0.682773113250732
29,2.19000005722046,1.79999995231628,19,19,90.625,87.5,1,0,3,-1.41806721687317
22,2.6800000667572,1.74000000953674,21,29,68.75,100,0,1,10,0.682773113250732
28,2.75,2.22000002861023,21,26,87.5,62.5,0,1,4,0.0525210089981556
25,1.60000002384186,2.49000000953674,21,19,78.125,50,0,0,7,-1.41806721687317
25,2.38000011444092,2.92000007629395,20,20,78.125,100,0,0,7,-1.20798313617706
27,2.29999995231628,1.98000001907349,22,27,84.375,87.5,0,0,5,0.262605041265488
23,3.35999989509583,1.83000004291534,17,30,71.875,100,1,0,9,0.892857134342194
32,3.25,3.27999997138977,21,26,100,100,0,1,0,0.0525210089981556
27,1.5,1.98000001907349,16,23,84.375,62.5,1,0,5,-0.577731072902679
31,2.96000003814697,3.01999998092651,19,25,96.875,87.5,0,1,1,-0.157563030719757
25,3.09999990463257,2.86999988555908,26,20,78.125,62.5,0,1,7,-1.20798313617706
26,2.03999996185303,2.75,19,26,81.25,100,0,1,6,0.0525210089981556
29,3.21000003814697,3.45000004768372,30,31,90.625,100,0,1,3,1.10294115543365
28,3.11999988555908,3.21000003814697,24,22,87.5,100,0,1,4,-0.787815153598785
30,1.5,2.4300000667572,18,32,93.75,100,0,0,2,1.31302523612976
29,1.96000003814697,2.55999994277954,23,16,90.625,75,1,0,3,-2.0483193397522
29,3.33999991416931,3.42000007629395,22,24,90.625,100,0,1,3,-0.367647051811218
28,2.90000009536743,2.4300000667572,21,22,87.5,100,0,1,4,-0.787815153598785
32,3.65000009536743,3.49000000953674,23,31,100,100,0,0,0,1.10294115543365
25,3.02999997138977,2.33999991416931,22,25,78.125,75,0,1,7,-0.157563030719757
28,2.6800000667572,2.48000001907349,28,27,87.5,62.5,1,0,4,0.262605041265488
28,2.4300000667572,3.21000003814697,23,26,87.5,75,1,0,4,0.0525210089981556
24,1.5,2.09999990463257,17,24,75,100,0,1,8,-0.367647051811218
29,2.97000002861023,2.8199999332428,25,28,90.625,100,0,1,3,0.472689062356949
30,3.71000003814697,3.22000002861023,27,37,93.75,87.5,0,1,2,2.36344528198242
29,2.26999998092651,2.09999990463257,19,21,90.625,100,0,1,3,-0.997899174690247
28,2.6800000667572,1.66999995708466,22,31,87.5,87.5,1,0,4,1.10294115543365
25,3.63000011444092,3.64000010490418,26,32,78.125,100,0,1,7,1.31302523612976
30,2.58999991416931,2.45000004768372,25,29,93.75,100,0,1,2,0.682773113250732
32,2.76999998092651,2.52999997138977,20,29,100,100,0,0,0,0.682773113250732
29,3.29999995231628,2.39000010490418,16,27,90.625,100,1,0,3,0.262605041265488
28,2.13000011444092,2.63000011444092,20,23,87.5,87.5,1,0,4,-0.577731072902679
24,2.34999990463257,2.53999996185303,24,30,75,87.5,0,0,8,0.892857134342194
26,3.46000003814697,3.53999996185303,27,29,81.25,100,0,1,6,0.682773113250732
3,2.07999992370605,1.85000002384186,22,23,9.375,87.5,0,1,29,-0.577731072902679
15,3.04999995231628,2.44000005722046,24,32,46.875,75,0,0,17,1.31302523612976
31,3.54999995231628,3.30999994277954,22,28,96.875,100,0,1,1,0.472689062356949
25,2.13000011444092,2.34999990463257,20,30,78.125,50,0,1,7,0.892857134342194
27,2.38000011444092,2.22000002861023,20,22,84.375,100,0,0,5,-0.787815153598785
27,3.73000001907349,3.20000004768372,25,37,84.375,100,0,0,5,2.36344528198242
27,2.13000011444092,2.57999992370605,21,17,84.375,100,0,1,5,-1.83823525905609
29,3.71000003814697,3.60999989509583,26,31,90.625,100,0,1,3,1.10294115543365
32,2.54999995231628,2.46000003814697,18,24,100,75,1,0,0,-0.367647051811218
23,3.13000011444092,3.33999991416931,28,26,71.875,100,0,0,9,0.0525210089981556
32,3.19000005722046,3.13000011444092,17,23,100,87.5,1,0,0,-0.577731072902679
28,2.58999991416931,2.78999996185303,26,28,87.5,100,0,1,4,0.472689062356949
31,2.78999996185303,2.35999989509583,23,27,96.875,100,1,0,1,0.262605041265488
25,3,3.28999996185303,28,30,78.125,100,0,1,7,0.892857134342194
30,2.75,2.36999988555908,20,24,93.75,87.5,1,0,2,-0.367647051811218
24,3.25,3.5699999332428,29,30,75,100,0,1,8,0.892857134342194
22,0.699999988079071,2.0699999332428,28,28,68.75,12.5,1,0,10,0.472689062356949
31,3.21000003814697,3.20000004768372,27,30,96.875,100,1,0,1,0.892857134342194
16,1.80999994277954,1.98000001907349,23,25,50,,1,0,16,-0.157563030719757
28,3.21000003814697,2.79999995231628,22,22,87.5,100,0,1,4,-0.787815153598785
31,3,2.98000001907349,18,22,96.875,100,0,1,1,-0.787815153598785
21,1.85000002384186,2.84999990463257,22,21,65.625,75,0,0,11,-0.997899174690247
9,2,1.95000004768372,20,26,28.125,37.5,1,0,23,0.0525210089981556
24,1.35000002384186,1.88999998569489,21,22,75,75,1,0,8,-0.787815153598785
31,3.03999996185303,3.28999996185303,19,32,96.875,100,1,0,1,1.31302523612976
28,3.1800000667572,2.75999999046326,25,26,87.5,100,1,0,4,0.0525210089981556
26,3.35999989509583,1.77999997138977,23,34,81.25,100,0,1,6,1.73319327831268
31,3,2.89000010490418,20,26,96.875,100,0,1,1,0.0525210089981556
20,2.88000011444092,1.95000004768372,25,26,62.5,87.5,0,1,12,0.0525210089981556
23,3.03999996185303,2.48000001907349,27,30,71.875,100,0,1,9,0.892857134342194
29,2.73000001907349,2.29999995231628,16,24,90.625,100,1,0,3,-0.367647051811218
32,2.77999997138977,1.86000001430511,21,34,100,87.5,1,0,0,1.73319327831268
32,2.96000003814697,2.70000004768372,24,30,100,87.5,0,1,0,0.892857134342194
29,2.25,2.27999997138977,15,26,90.625,87.5,1,0,3,0.0525210089981556
28,2.10999989509583,2.69000005722046,19,19,87.5,87.5,0,1,4,-1.41806721687317
31,3.26999998092651,2.47000002861023,25,34,96.875,100,0,0,1,1.73319327831268
28,2.23000001907349,2.67000007629395,19,22,87.5,100,1,0,4,-0.787815153598785
31,2.94000005722046,2.40000009536743,22,22,96.875,100,1,0,1,-0.787815153598785
30,4,3.45000004768372,30,36,93.75,100,0,0,2,2.15336132049561
27,2.3199999332428,2.34999990463257,21,27,84.375,87.5,1,0,5,0.262605041265488
25,3.41000008583069,2.92000007629395,23,24,78.125,100,0,0,7,-0.367647051811218
27,2.28999996185303,2.73000001907349,18,26,84.375,100,0,1,5,0.0525210089981556
25,1.53999996185303,2.6800000667572,19,22,78.125,87.5,0,1,7,-0.787815153598785
32,3.55999994277954,3.51999998092651,23,31,100,100,0,1,0,1.10294115543365
10,1,1.4099999666214,23,20,31.25,12.5,1,0,22,-1.20798313617706
25,2.94000005722046,2.94000005722046,20,30,78.125,100,0,0,7,0.892857134342194
31,3.14000010490418,3.3199999332428,23,22,96.875,100,0,1,1,-0.787815153598785
29,2.75,2.91000008583069,19,22,90.625,75,0,1,3,-0.787815153598785
27,2.23000001907349,2.13000011444092,24,26,84.375,100,1,0,5,0.0525210089981556
30,3.79999995231628,3.10999989509583,24,29,93.75,100,0,1,2,0.682773113250732
32,3.53999996185303,2.94000005722046,16,22,100,100,1,0,0,-0.787815153598785
31,3.75,3.52999997138977,26,31,96.875,100,0,1,1,1.10294115543365
32,3.5,2.82999992370605,22,27,100,100,0,1,0,0.262605041265488
29,2.61999988555908,2.66000008583069,26,23,90.625,87.5,0,1,3,-0.577731072902679
24,1.75999999046326,2.11999988555908,23,26,75,50,0,1,8,0.0525210089981556
21,2.35999989509583,2.20000004768372,19,22,65.625,87.5,0,1,11,-0.787815153598785
21,2.46000003814697,2.25,26,24,65.625,100,1,0,11,-0.367647051811218
32,3.73000001907349,3.22000002861023,28,32,100,100,0,1,0,1.31302523612976
28,3.23000001907349,2.95000004768372,21,26,87.5,100,0,1,4,0.0525210089981556
32,2.60999989509583,2.66000008583069,17,31,100,87.5,0,1,0,1.10294115543365
28,2.63000011444092,2.41000008583069,20,25,87.5,100,0,1,4,-0.157563030719757
28,3.07999992370605,2.58999991416931,19,27,87.5,100,0,1,4,0.262605041265488
30,1.37999999523163,2.54999995231628,19,17,93.75,100,0,1,2,-1.83823525905609
30,3.53999996185303,3.48000001907349,28,29,93.75,100,0,1,2,0.682773113250732
28,3.15000009536743,2.91000008583069,23,26,87.5,87.5,1,0,4,0.0525210089981556
29,2.21000003814697,2.27999997138977,18,26,90.625,100,0,1,3,0.0525210089981556
17,2.1800000667572,2.49000000953674,30,24,53.125,62.5,0,0,15,-0.367647051811218
32,3.09999990463257,2.94000005722046,23,25,100,100,0,0,0,-0.157563030719757
26,2.61999988555908,3.10999989509583,27,24,81.25,100,0,1,6,-0.367647051811218
31,2.40000009536743,2.69000005722046,23,28,96.875,100,1,0,1,0.472689062356949
30,3.59999990463257,3.35999989509583,28,21,93.75,100,0,1,2,-0.997899174690247
26,2.03999996185303,2.11999988555908,22,32,81.25,100,0,1,6,1.31302523612976
29,3.11999988555908,2.41000008583069,23,28,90.625,100,0,0,3,0.472689062356949
28,3.19000005722046,2.29999995231628,19,22,87.5,100,0,1,4,-0.787815153598785
25,1.97000002861023,2.0699999332428,24,24,78.125,100,0,1,7,-0.367647051811218
32,3,3.1800000667572,25,33,100,100,0,1,0,1.52310919761658
31,3.35999989509583,2.61999988555908,27,28,96.875,100,1,0,1,0.472689062356949
24,1.78999996185303,1.74000000953674,24,25,75,100,1,0,8,-0.157563030719757
27,2.97000002861023,3.15000009536743,28,27,84.375,100,0,1,5,0.262605041265488
23,2.67000007629395,2.30999994277954,22,27,71.875,87.5,0,1,9,0.262605041265488
29,3.16000008583069,2.83999991416931,20,26,90.625,87.5,0,1,3,0.0525210089981556
26,2.5,2.0699999332428,23,22,81.25,75,0,1,6,-0.787815153598785
22,1.71000003814697,2.13000011444092,20,21,68.75,87.5,0,1,10,-0.997899174690247
29,2.73000001907349,2.54999995231628,24,27,90.625,100,0,1,3,0.262605041265488
29,3.57999992370605,2.78999996185303,28,30,90.625,100,0,0,3,0.892857134342194
27,2.21000003814697,2.39000010490418,20,26,84.375,100,0,1,5,0.0525210089981556
18,1.75,2.19000005722046,22,21,56.25,62.5,0,1,14,-0.997899174690247
27,2.10999989509583,2.14000010490417,20,23,84.375,100,0,1,5,-0.577731072902679
29,4,3.83999991416931,28,37,90.625,87.5,0,1,3,2.36344528198242
23,3.14000010490418,3.21000003814697,22,24,71.875,87.5,0,1,9,-0.367647051811218
25,2.92000007629395,2.6800000667572,20,27,78.125,75,0,1,7,0.262605041265488
28,2.28999996185303,2.46000003814697,19,19,87.5,100,0,1,4,-1.41806721687317
30,2.96000003814697,2.33999991416931,24,25,93.75,100,0,1,2,-0.157563030719757
24,2.0699999332428,2.61999988555908,25,21,75,100,1,0,8,-0.997899174690247
30,1.79999995231628,2.60999989509583,20,30,93.75,100,0,0,2,0.892857134342194
32,3.73000001907349,3.80999994277954,32,38,100,87.5,0,1,0,2.57352948188782
28,2.30999994277954,2.42000007629395,18,19,87.5,100,1,0,4,-1.41806721687317
29,2.39000010490418,2.45000004768372,20,25,90.625,100,0,1,3,-0.157563030719757
25,2.96000003814697,2.9300000667572,28,35,78.125,100,0,1,7,1.94327735900879
31,3.61999988555908,3.48000001907349,24,32,96.875,100,0,1,1,1.31302523612976
31,3.11999988555908,2.96000003814697,22,29,96.875,100,0,1,1,0.682773113250732
30,2.30999994277954,2.35999989509583,19,30,93.75,100,0,1,2,0.892857134342194
23,1.71000003814697,2.89000010490418,24,22,71.875,100,0,1,9,-0.787815153598785
31,2.69000005722046,3.01999998092651,26,29,96.875,75,0,0,1,0.682773113250732
32,2.4300000667572,2.58999991416931,16,21,100,87.5,0,1,0,-0.997899174690247
32,2.54999995231628,2.5699999332428,15,20,100,100,1,0,0,-1.20798313617706
30,2.76999998092651,2.52999997138977,24,29,93.75,100,0,1,2,0.682773113250732
28,3.40000009536743,3.66000008583069,29,26,87.5,100,0,1,4,0.0525210089981556
26,2.5,2.09999990463257,17,21,81.25,87.5,0,0,6,-0.997899174690247
24,3,1.80999994277954,22,30,75,75,0,1,8,0.892857134342194
28,2.25,2.39000010490418,16,19,87.5,100,0,0,4,-1.41806721687317
15,2.5,2.02999997138977,26,24,46.875,50,0,1,17,-0.367647051811218
28,2.04999995231628,2.58999991416931,22,24,87.5,87.5,0,1,4,-0.367647051811218
29,1.37999999523163,1.91999995708466,16,16,90.625,100,1,0,3,-2.0483193397522
27,2.73000001907349,1.85000002384186,23,25,84.375,87.5,1,0,5,-0.157563030719757
28,3.29999995231628,3.53999996185303,26,33,87.5,25,0,0,4,1.52310919761658
31,2.78999996185303,2.5699999332428,19,31,96.875,100,0,1,1,1.10294115543365
29,3.30999994277954,3.26999998092651,26,27,90.625,100,0,1,3,0.262605041265488
30,1.78999996185303,2.44000005722046,20,14,93.75,75,0,1,2,-2.46848750114441
24,2.97000002861023,2.36999988555908,22,31,75,100,1,0,8,1.10294115543365
31,2.13000011444092,2.63000011444092,19,14,96.875,100,0,0,1,-2.46848750114441
28,3.03999996185303,2.6800000667572,25,24,87.5,100,0,0,4,-0.367647051811218
21,2.03999996185303,2.5,18,23,65.625,87.5,1,0,11,-0.577731072902679
26,2.75,2.95000004768372,21,25,81.25,100,0,1,6,-0.157563030719757
32,3.40000009536743,3.16000008583069,25,29,100,100,0,1,0,0.682773113250732
32,2.8199999332428,3.13000011444092,22,19,100,100,0,1,0,-1.41806721687317
21,0.545000016689301,1.98000001907349,18,23,65.625,37.5,1,0,11,-0.577731072902679
9,1.42999994754791,2.02999997138977,28,25,28.125,37.5,0,1,23,-0.157563030719757
26,2.15000009536743,1.92999994754791,16,27,81.25,87.5,1,0,6,0.262605041265488
24,2.53999996185303,1.87999999523163,23,24,75,75,1,0,8,-0.367647051811218
26,2.5,2.85999989509583,23,25,81.25,100,0,1,6,-0.157563030719757
31,2.38000011444092,2.29999995231628,17,25,96.875,100,0,1,1,-0.157563030719757
27,1.66999995708466,2.19000005722046,13,15,84.375,87.5,0,1,5,-2.25840330123901
28,3.21000003814697,2.53999996185303,23,25,87.5,100,1,0,4,-0.157563030719757
32,2.75,2.94000005722046,22,24,100,100,0,1,0,-0.367647051811218
25,2.5,2.9300000667572,25,29,78.125,87.5,0,1,7,0.682773113250732
26,2.90000009536743,2.59999990463257,19,24,81.25,100,1,0,6,-0.367647051811218
27,2.65000009536743,3.25999999046326,20,29,84.375,50,0,0,5,0.682773113250732
32,3.4300000667572,3.28999996185303,20,22,100,100,0,1,0,-0.787815153598785
21,2.84999990463257,2.19000005722046,24,31,65.625,75,1,0,11,1.10294115543365
32,3.21000003814697,3.01999998092651,27,18,100,100,0,1,0,-1.62815129756928
25,2.25,2.08999991416931,20,25,78.125,100,0,1,7,-0.157563030719757
28,2.44000005722046,2.10999989509583,24,22,87.5,100,0,0,4,-0.787815153598785
24,2.76999998092651,2.82999992370605,24,32,75,100,0,1,8,1.31302523612976
23,3.40000009536743,2.34999990463257,21,27,71.875,100,0,0,9,0.262605041265488
31,3.46000003814697,2.38000011444092,23,30,96.875,100,0,1,1,0.892857134342194
32,3.33999991416931,3.14000010490418,25,27,100,100,0,1,0,0.262605041265488
29,2.4300000667572,2.48000001907349,22,22,90.625,75,0,1,3,-0.787815153598785
29,2.71000003814697,2.51999998092651,21,22,90.625,62.5,1,0,3,-0.787815153598785
31,2.10999989509583,2.75999999046326,24,26,96.875,100,0,1,1,0.0525210089981556
29,4,3.70000004768372,24,39,90.625,100,0,0,3,2.78361344337463
24,2.09999990463257,2.07999992370605,22,30,75,100,0,1,8,0.892857134342194
17,2.38000011444092,2.39000010490418,22,24,53.125,62.5,0,1,15,-0.367647051811218
29,2.11999988555908,2.46000003814697,21,18,90.625,100,0,1,3,-1.62815129756928
31,4,3.70000004768372,25,35,96.875,100,0,1,1,1.94327735900879
27,3.03999996185303,1.99000000953674,25,26,84.375,100,0,1,5,0.0525210089981556
20,1.11000001430511,2.57999992370605,25,28,62.5,87.5,0,1,12,0.472689062356949
31,3.13000011444092,2.67000007629395,21,30,96.875,100,0,1,1,0.892857134342194
27,3,1.9099999666214,23,29,84.375,100,1,0,5,0.682773113250732
17,1.79999995231628,1.96000003814697,24,25,53.125,,0,1,15,-0.157563030719757
17,1.67999994754791,2.15000009536743,20,24,53.125,87.5,0,1,15,-0.367647051811218
29,3,2.94000005722046,22,24,90.625,100,1,0,3,-0.367647051811218
27,2.25,2.10999989509583,15,25,84.375,87.5,0,1,5,-0.157563030719757
31,3.25,3.5,25,30,96.875,100,0,1,1,0.892857134342194
12,1.13999998569489,1.8400000333786,22,17,37.5,37.5,0,1,20,-1.83823525905609
27,2.97000002861023,3.09999990463257,24,25,84.375,100,0,1,5,-0.157563030719757
25,1.88999998569489,2.79999995231628,23,25,78.125,100,0,1,7,-0.157563030719757
